City_ID,City,Country,Max_Temp,Lat,Lng,Current_Description,Hotel Name
1,Vaini,TO,75.36,-21.2,-175.2,moderate rain,Keleti International Resort
34,Rikitea,PF,77.56,-23.1203,-134.9692,broken clouds,Chez Bianca & Benoit
42,Cockburn Town,TC,78.37,21.4612,-71.1419,clear sky,The Salt Raker Inn
44,Kismayo,SO,83.8,-0.3582,42.5454,clear sky,Kismayo Hotel
48,Kavieng,PG,80.02,-2.5744,150.7967,moderate rain,Kavieng Hotel
51,Avarua,CK,78.85,-21.2078,-159.775,light rain,Paradise Inn
64,Lae,PG,81.48,-6.7221,146.9847,overcast clouds,Huon Gulf Hotel
66,Saint-Philippe,RE,82.11,-21.3585,55.7679,light rain,Le Baril
73,Tual,ID,83.8,-5.6667,132.75,overcast clouds,Suita
75,Atuona,PF,78.06,-9.8,-139.0333,scattered clouds,Pearl Resort
76,Santa Marta,CO,80.89,11.2408,-74.199,clear sky,Casa Mita
81,Maragogi,BR,76.12,-9.0122,-35.2225,clear sky,Pousada Mariluz
83,Padang,ID,73.45,-0.9492,100.3543,light rain,losmen Surya
86,Inhambane,MZ,84.27,-23.865,35.3833,broken clouds,Hotel de Inhambane
90,Basco,PH,74.82,20.4487,121.9702,overcast clouds,Tawsen Hotel
94,Olinda,BR,80.33,-8.0089,-34.8553,scattered clouds,Fidji Motel
105,Acapulco,MX,76.82,16.8634,-99.8901,overcast clouds,Hotel del Valle
107,Mahebourg,MU,79.52,-20.4081,57.7,clear sky,Grand Bel Air
108,Faanui,PF,80.78,-16.4833,-151.75,overcast clouds,Oa Oa Lodge
112,Isangel,VU,81.41,-19.55,169.2667,overcast clouds,Tanna Lodge
121,Salalah,OM,80.69,17.0151,54.0924,clear sky,Muscat International Hotel
129,Port-Gentil,GA,80.89,-0.7193,8.7815,overcast clouds,Tara-Mé
134,Morwell,AU,76.41,-38.2333,146.4,light rain,Latrobe Valley Hotel Morwell
143,Pocone,BR,72.57,-16.2567,-56.6228,heavy intensity rain,Andirah
148,Serra Talhada,BR,74.35,-7.9919,-38.2983,broken clouds,Hotel do Vale
151,Georgetown,MY,89.53,5.4112,100.3354,few clouds,Page 63 hostel
169,Phuket,TH,86.22,8.0,98.25,few clouds,Amanpuri
176,Mitsamiouli,KM,82.17,-11.3847,43.2844,light rain,Hotel le Paradis
177,Namatanai,PG,82.22,-3.6667,152.4333,broken clouds,Namatanai Hotel
180,Puri,IN,82.92,19.8,85.85,clear sky,Divine Beach Homestay
194,Kahului,US,75.85,20.8947,-156.47,overcast clouds,Maui Seaside Hotel
201,Vila Velha,BR,76.95,-20.3297,-40.2925,scattered clouds,Hotel Prainha
204,Itarema,BR,77.5,-2.9248,-39.9167,scattered clouds,Pousada Oásis
205,Bengkulu,ID,81.34,-3.8004,102.2655,light rain,Dena Hotel
207,La Libertad,EC,73.26,-2.2333,-80.9,overcast clouds,Hotel Mar Caribe
218,Kupang,ID,84.78,-10.1667,123.5833,broken clouds,BIB & LANG GUEST HOUSE
222,Hithadhoo,MV,80.26,-0.6,73.0833,clear sky,Pebbles Inn
228,Cayenne,GF,73.44,4.9333,-52.3333,overcast clouds,Central Hôtel
231,Impfondo,CG,80.55,1.6381,18.0667,overcast clouds,Tropicana
238,Vao,NC,77.85,-22.6667,167.4833,overcast clouds,Nataiwatch
254,Kalmunai,LK,81.77,7.4167,81.8167,overcast clouds,Saji new food
265,Bathurst,AU,72.97,-33.4166,149.5806,broken clouds,King's Hotel
267,Bathsheba,BB,75.81,13.2167,-59.5167,broken clouds,Atlantis Hotel
270,Caravelas,BR,72.03,-17.7125,-39.2481,few clouds,Pousada dos Navegantes
274,Progreso,MX,72.1,21.2833,-89.6667,clear sky,Centro Vacacional Obrero CTM
278,Gizo,SB,83.82,-8.103,156.8419,overcast clouds,Gizo Hotel
279,Barahona,DO,72.54,18.2085,-71.1008,clear sky,Hotel Baramar
287,Hambantota,LK,82.58,6.1241,81.1185,overcast clouds,Oasis Aurweda Resort Hambathota
290,Almeirim,BR,72.45,-1.5233,-52.5817,overcast clouds,Kapejar Hotel
294,Soure,BR,78.26,-0.7167,-48.5233,overcast clouds,Hotel Marajó
296,Mogadishu,SO,81.07,2.0371,45.3438,clear sky,SYL Hotel
303,Lorengau,PG,77.56,-2.0226,147.2712,light rain,Seeadler Bay Hotel
306,Geraldton,AU,79.21,-28.7667,114.6,clear sky,Ocean Centre Hotel
313,Fomboni,KM,80.71,-12.28,43.7425,moderate rain,Mohéli La Plage
315,Esperance,AU,79.29,-33.8667,121.9,clear sky,Hospitality
322,Ler,SS,82.04,8.3018,30.1418,few clouds,Green Hotel
329,Perth,AU,88.02,-31.9333,115.8333,clear sky,Oxford Hotel
335,Villa Bruzual,VE,72.55,9.3328,-69.1208,broken clouds,Hotel Turístico Sol de Arichuna
349,Sorong,ID,82.24,-0.8833,131.25,overcast clouds,Hotel Membramo Marina
350,Conde,BR,78.26,-7.2597,-34.9075,few clouds,Paladino
351,Vanimo,PG,82.6,-2.6741,141.3028,overcast clouds,CBC Guesthouse
356,Vila Do Maio,CV,72.19,15.1333,-23.2167,clear sky,Residencial Jardins De Maio
359,Kaabong,UG,73.98,3.4836,34.1492,few clouds,Sacavian
360,Lodwar,KE,89.51,3.1191,35.5973,overcast clouds,Lodwar Modern Lodge
363,Champerico,GT,75.6,14.3,-91.9167,few clouds,Hotel y Restaurante El Submarino
368,Nicoya,CR,72.01,10.1483,-85.452,clear sky,Hotel marianela
369,Meulaboh,ID,82.71,4.1363,96.1285,overcast clouds,Hotel Meuligou
380,Porto Novo,BJ,75.02,6.4965,2.6036,scattered clouds,Hôtel 6500 CFA
385,La Romana,DO,72.14,18.4273,-68.9728,clear sky,Hotel Frano
397,Cootamundra,AU,79.95,-34.65,148.0333,few clouds,Globe Hotel
399,Yambio,SS,78.73,4.5721,28.3955,overcast clouds,Kabash Inn
400,Santa,PH,88.02,17.486,120.4348,overcast clouds,Monte Leah Beach Resort
407,Boffa,GN,72.5,10.1667,-14.0333,overcast clouds,Cité Bagataye
419,Bo Phloi,TH,87.31,14.3236,99.5161,overcast clouds,블루사파이어
420,Ternate,ID,83.03,0.8,127.4,overcast clouds,Boulivard ternate
423,Yenagoa,NG,76.05,4.9247,6.2642,overcast clouds,Peretimi Hotels Ltd.
440,Namibe,AO,73.78,-15.1961,12.1522,light rain,Hotel Chik Chik Namibe
441,Nabire,ID,85.01,-3.3667,135.4833,moderate rain,Hotel Anggrek
447,Manacapuru,BR,73.78,-3.2997,-60.6206,overcast clouds,Novo Hotel
449,Sinnamary,GF,75.76,5.3833,-52.95,overcast clouds,Hôtel du fleuve
455,Isla Mujeres,MX,77.16,21.2311,-86.731,light rain,Villa La Bella
468,Marsh Harbour,BS,74.37,26.5412,-77.0636,overcast clouds,Lofty Fig Villas
469,Claveria,PH,74.55,18.6074,121.0832,overcast clouds,Lakay-Lakay Beach Resort
470,Sao Joao Da Barra,BR,72.59,-21.6403,-41.0511,overcast clouds,Pousada Mediterrâneo
472,Baringo,KE,78.04,0.4667,35.9667,clear sky,Jericho Guest House
473,Porto Velho,BR,73.45,-8.7619,-63.9039,moderate rain,Hotel Slaviero Essential Porto Velho
482,Ambilobe,MG,80.13,-13.2,49.05,broken clouds,Hôtel National
484,Puerto Escondido,MX,75.38,15.85,-97.0667,overcast clouds,Hotel Barlovento
487,Pedernales,DO,75.0,18.0384,-71.744,clear sky,Hostal Doña Chava
507,Panama City,PA,78.13,8.9936,-79.5197,broken clouds,Hostal Familiar Carmencita
512,San Juan,AR,78.04,-31.5375,-68.5364,clear sky,Hotel San Francisco
524,Mongoumba,CF,78.55,3.6415,18.5936,overcast clouds,Hôtel Wilo et Frères
537,Broken Hill,AU,89.37,-31.95,141.4333,clear sky,Ibis Styles
553,Jodhpur,IN,74.64,26.2867,73.03,clear sky,khass baag
563,Conakry,GN,78.87,9.538,-13.6773,mist,Hotel del Fanta (sleazy but rooms for 100k or even less)
564,Quatre Cocos,MU,84.31,-20.2078,57.7625,clear sky,Horisun
565,Mackay,AU,87.67,-21.15,149.2,broken clouds,Mackay Oceanside Central Apartment Hotel
571,Kuzhithurai,IN,87.48,8.3167,77.1833,broken clouds,KTDC
578,Ponnani,IN,87.12,10.767,75.9252,few clouds,Hotel Salkara
581,Vaitape,PF,80.82,-16.5167,-151.75,overcast clouds,Oa Oa Lodge
588,Ratnagiri,IN,86.81,16.9833,73.3,clear sky,Vihar
601,Tevaitoa,PF,80.82,-16.7833,-151.5,overcast clouds,Chambre d'hote
603,Guarapari,BR,75.88,-20.6667,-40.4975,overcast clouds,Osmar Hotel
605,Morondava,MG,83.95,-20.2833,44.2833,overcast clouds,Hotel Sharon Menabe
606,Bocas Del Toro,PA,77.77,9.3333,-82.25,light rain,B&B Surfari
624,Bakel,SN,79.3,14.905,-12.4568,overcast clouds,Sangacity
626,Owando,CG,74.39,-0.4819,15.8999,overcast clouds,Hotel de l'Eglise
632,Sulangan,PH,82.31,11.1373,123.7228,broken clouds,Marion's Inn
633,Boa Vista,BR,76.98,2.8197,-60.6733,clear sky,Aipana Plaza Hotel
634,Mahanoro,MG,83.3,-19.9,48.8,broken clouds,Vanilla Bungalow
635,Catuday,PH,80.78,16.2923,119.8062,overcast clouds,Nina Anchors Inn
639,Moshi,TZ,79.18,-3.35,37.3333,overcast clouds,Hugos Hotel
649,Tagusao,PH,81.9,9.1924,117.8141,overcast clouds,"Shaman's Breath- Beach, Bed & Breakfast"
654,Jeremie,HT,74.39,18.65,-74.1167,clear sky,Delivrance Hotel
668,Cozumel,MX,75.27,20.5083,-86.9458,scattered clouds,Hotel Isla Esmeralda
672,Garissa,KE,84.11,-0.4536,39.6401,broken clouds,Hiddig Hotel
677,Grand Gaube,MU,84.6,-20.0064,57.6608,clear sky,Coco Villa
691,Denpasar,ID,87.46,-8.65,115.2167,moderate rain,Hotel Candra Adiguna
